,replicate,t,x
0,0,0.0,418.0
1,0,336.1344537815126,412.0
2,0,672.2689075630252,402.0
3,0,1008.4033613445379,422.0
4,0,1344.5378151260504,435.0
5,0,1680.672268907563,424.0
6,0,2016.8067226890757,419.0
7,0,2352.9411764705883,428.0
8,0,2689.075630252101,409.0
9,0,3025.2100840336134,414.0
10,0,3361.344537815126,409.0
11,0,3697.4789915966385,419.0
12,0,4033.6134453781515,429.0
13,0,4369.747899159664,412.0
14,0,4705.882352941177,418.0
15,0,5042.016806722689,416.0
16,0,5378.151260504202,419.0
17,0,5714.285714285715,412.0
18,0,6050.420168067227,405.0
19,0,6386.55462184874,407.0
20,0,6722.689075630252,417.0
21,0,7058.823529411765,419.0
22,0,7394.957983193277,413.0
23,0,7731.09243697479,431.0
24,0,8067.226890756303,424.0
25,0,8403.361344537816,430.0
26,0,8739.495798319327,424.0
27,0,9075.63025210084,432.0
28,0,9411.764705882353,426.0
29,0,9747.899159663866,431.0
30,0,10084.033613445377,415.0
31,0,10420.16806722689,414.0
32,0,10756.302521008403,419.0
33,0,11092.436974789916,427.0
34,0,11428.57142857143,421.0
35,0,11764.70588235294,427.0
36,0,12100.840336134454,414.0
37,0,12436.974789915967,412.0
38,0,12773.10924369748,416.0
39,0,13109.24369747899,421.0
40,0,13445.378151260504,415.0
41,0,13781.512605042017,405.0
42,0,14117.64705882353,407.0
43,0,14453.781512605043,405.0
44,0,14789.915966386554,407.0
45,0,15126.050420168067,398.0
46,0,15462.18487394958,401.0
47,0,15798.319327731093,400.0
48,0,16134.453781512606,415.0
49,0,16470.58823529412,403.0
50,0,16806.722689075632,410.0
51,0,17142.85714285714,423.0
52,0,17478.991596638654,423.0
53,0,17815.126050420167,420.0
54,0,18151.26050420168,420.0
55,0,18487.394957983193,423.0
56,0,18823.529411764706,432.0
57,0,19159.66386554622,424.0
58,0,19495.798319327732,416.0
59,0,19831.932773109245,402.0
60,0,20168.067226890755,415.0
61,0,20504.201680672268,415.0
62,0,20840.33613445378,422.0
63,0,21176.470588235294,420.0
64,0,21512.605042016807,429.0
65,0,21848.73949579832,435.0
66,0,22184.873949579833,442.0
67,0,22521.008403361346,430.0
68,0,22857.14285714286,418.0
69,0,23193.277310924368,433.0
70,0,23529.41176470588,440.0
71,0,23865.546218487394,444.0
72,0,24201.680672268907,438.0
73,0,24537.81512605042,437.0
74,0,24873.949579831933,440.0
75,0,25210.084033613446,436.0
76,0,25546.21848739496,425.0
77,0,25882.352941176472,426.0
78,0,26218.48739495798,436.0
79,0,26554.621848739494,419.0
80,0,26890.756302521007,420.0
81,0,27226.89075630252,422.0
82,0,27563.025210084033,425.0
83,0,27899.159663865546,430.0
84,0,28235.29411764706,435.0
85,0,28571.428571428572,435.0
86,0,28907.563025210085,430.0
87,0,29243.697478991595,442.0
88,0,29579.831932773108,433.0
89,0,29915.96638655462,433.0
90,0,30252.100840336134,432.0
91,0,30588.235294117647,441.0
92,0,30924.36974789916,432.0
93,0,31260.504201680673,432.0
94,0,31596.638655462186,426.0
95,0,31932.7731092437,435.0
96,0,32268.907563025212,439.0
97,0,32605.04201680672,431.0
98,0,32941.17647058824,432.0
99,0,33277.31092436975,438.0
100,0,33613.445378151264,435.0
101,0,33949.57983193277,429.0
102,0,34285.71428571428,426.0
103,0,34621.8487394958,428.0
104,0,34957.98319327731,430.0
105,0,35294.117647058825,425.0
106,0,35630.252100840335,445.0
107,0,35966.38655462185,443.0
108,0,36302.52100840336,450.0
109,0,36638.65546218488,435.0
110,0,36974.78991596639,445.0
111,0,37310.924369747896,439.0
112,0,37647.05882352941,434.0
113,0,37983.19327731092,449.0
114,0,38319.32773109244,456.0
115,0,38655.46218487395,438.0
116,0,38991.596638655465,448.0
117,0,39327.731092436974,440.0
118,0,39663.86554621849,453.0
119,0,40000.0,442.0
